Scam,Message
1,"Hey guys, I'm looking to sell  my full season  tickets, I can sell them individually Whoever wants them should text me tsym!"
1,@everyone Just upgraded! Giving away my old Canon camera. It’s still functional and in good shape. Perfect for photography enthusiasts or anyone wanting to start! DM me if interested in picking it up iMessage - angle_lovee1@icloud.com WhatsApp - 6028209715
0,Hi everyone!!! So sorry for late notice but tonight’s meeting will be CANCELLED!! We will pick back up the week following fall break w good food and good company! See you all then and enjoy your fall break:)
1,"Hey guys, I’m looking to sell my full season tickets, I can sell them individually Whoever wants them should text me tysm!"
0,god bless the admin
0,"🚨REMINDER THAT OUR FIRST GBM IS TODAY 6-7 PM IN VMH 1418!!!🚨There will be free snacks, an intro to our clubs mission and e-board election timeline, and resume preparation for the IS Career Fair Tomorrow (BIG 4 AND MANY OTHER COMPANIES WILL BE THERE!) There will also be a short panel from BD Edge, a program looking to recruit from BITS members for internships starting next week, so if you're looking for a summer internship please attend! Use the QR code above or this link (https://forms.gle/VYt3nnnSdoXRc5KB6) to RSVP for the meeting today!"
1,"I want to give out my MacBook Air 2021 & Charger** for free, it's in perfect health and good as new, alongside a charger so it's perfect, I want to give it out because I just got a new model and I thought of giving out the old one to someone who can't afford one and is in need of it... Strictly First come first serve ! DM IF YOU ARE INTERESTED"
1,❗Important news! 🎉 You are one of the winner in our contest. Your prize is the Apple ipad Pro More information here➡️➡️➡️ https://claim.groupme.store/ipad?cid=hUqPS0
0,"Hey, I have just joined the club. What is the schedule for club meetings?"
1,"Hey everyone I know this doesn't align with the here but I lost my son to cancer some months ago, he was a strong kid and fought a good fight but God knows best I bought him a play station 5 unfortunately he never got a chance to play it well.I'm willing to give otu the ps5 out for free because seeing it hurst my soul send me a message on my cell () or send a text on () if you want the gaming system. No mohter should go through that 😭 I feel appreciare y'all❤️"
1,"I just want to apologize first because I was about to report someone for scamming me out of $500 fake nitro link but I accidentally reported your discord account for doing illegal purchases & scamming instead of someone else and discord Support emailed me said that your account will be suspended/banned and your IP will be blocked on discord, if there is no action taken from you."
0,why would you want to
1,"i'm kind needing your help rn. there was this guy who randomly sent me a phishing link and as i was about to report his account, i mistakenly repoerted yours instead. after filing the ticket, discord responded to me that your account is at risk of getting banned if you cannot make the appeal i actually already provided a further explanation that it was a mistake but their system will still disable your account if you cannot make an appeal. i guess it's gonna be about some verification concerning your account just to make sure. you're probably busy rn and i'm reallly sorry for this incident but can you please help me? i just want to get this resolved on your end if you're read the ticket, it says to send a request to Oscar Thomas though his username oscart.helpdesk here on discord to get assistance so you won't be banned"
0,"‼️Reminder for meeting in 10 minutes, please join using the zoom link above"
1,Sorry to distract your attention I'm here because I will be giving out my old gadgets which are getting more old day by day since I have gotten new ones I have given out some and still have a 2022 MacBook Air M2 to give away SO if you're interested pls dm or email me ()@.gmail.com
0,"Hey, Are you guys going to give free tickets to AWS Community day DMV like last year?"
1,"Giving away a PS5 to anyone who's interested! I'm upgrading my gaming setup and want to pass on my old console to someone who'll enjoy it. First come, first served! Message me if you're interested"
1,"I want to give out my playstation 5 and its dual controller ** for free, it's in perfect health and good as new, alongside with is dual controller so it's perfect, I want to give it out because I got a job and I want to focus on my work not playing game anymore I thought of giving it out to someone who can't afford one and is in dire need of it... Strictly First come first serve ! DM IF YOU ARE INTERESTED Herrykaine7@gmail.com"
0,I think the warnign is because I didn't delete my orginla shcema
0,what's the diiference of the leason learned and the challenges
0,👍
1,"Hello 😍 are you interested in a sugar baby arrangement,It comes with weekly allowance of $800,Nothing  sexual just some companionship arrangement if yes text me 5103128511"
1,"I want to give out my playstation 5  and its dual controller ** for free, it's in perfect health and good as new, alongside with is dual controller so it's perfect, I want to give it out because I just got the new model and I thought of giving put the old one to someone who can't afford one and is in dire need of it... DM IF YOU ARE INTERESTED tray78459@gmail.com +1402 374 4461"
1,"I am giving out my Kedrick Lamar and SZA tickets for free, message me if you are interested. 9862304604"
0,"hey when are the meetings & where are they gona be also on the instagroam account, the rsvp link for the aws command line workshop isnt working"
0,I have $250 AWS credits I'm trynna give a away at a discount. Is anyone looking to get it?
0,sadge
0,"Yes, I do happen to be on that too Let me know if you have an idea Bill will be under your name but I'll handle to logistics"
1,"Hi guys, I’m selling my Ariana grande tickets text me if you are interested 3093109934"
0,yooo anybody got an extra ticket to the georgetown game tmr 🙏🏽
0,Is anybody looking to take over a commons lease??
0,does anyone have an extra ticket for the basketball game tn?
1,Im selling my USC tickets for cheap price text me if you are interested
1,"Selling the rest of my season to home games,hmu if you’re interested"
1,"Giving away Tate McRae tickets for free, lmk if anyone’s is interested in it. (502) 826-6558"
1,"With utmost pleasure, I'm giving out my MacBook Air 2023 64gb 1TB & my iPhone 15Pro and Apple Watch for free to a lucky person. It is in perfect health and good as new, with a perfectly working charger. I'm giving it out because I just got a new model and I can't be using two laptops together. So i thought of giving out the old one to someone who can't afford one and is in dire need of it... Strictly First come first serve, no partial i you are INTERESTED you can mail me with jeanyrity7@gmail.com and always reply your mail and check it"
1,Hey guys I’m sorry if this isn’t allowed here but I am giving away my remaining tickets for the upcoming games. Dm me if you’re interested in them
1,Looking to sell my ticket hmu if you’re interested
1,"Hey guys, I’m looking to sell of my season tickets,Whoever wants them should text me tysm! 754 2366741"
0,"Hi everyone! UMCP NAACP still has their food drive going on! We will be extending it til next week so if you are able to feel free to donate anything from the list on the flyer!

Also join us on Monday for our Vision Board night with discussions on Mental Health! Here is the RSVP link: https://docs.google.com/forms/d/e/1FAIpQLSe-N1_mKgu7VzzB5ptVFPlv7Mxk5vfVqNgNkR0lLcwboWIAIQ/viewform?usp=header"
0,"Good morning everyone! Here are some announcements:

- Freshman Council applications are now closed. Thank you to all who applied! You’ll receive an email by Monday confirming your position and details for Tuesday’s election. Reminder: you must be present at Tuesday’s GBM to vote.

- We’re excited to announce our collaboration with Battle of the Bands! UMD students can get discounted tickets tomorrow by showing your UID at the stadium.

-Mr. BSU applications are still open, reach out if you have any questions!"
0,If you’re running for e board are you allowed to campaign on social media and everything or do u have to be approved as a candidate first after u apply
0,IM Coed Volleyball FINALS is tonight at 6:45pm in the armory!!! 🚨🚨🚨 We would love it if you guys came and supported us! Let’s do this! 🏐
0,“$40 for 4”
0,Okay so there are like so mannyyyy more like these so if anyone wants their pictures un-watermarked let me know 🥳 they also have the ones from Panorama Farms aka regionals out now too
